asset,status,source,crop_box,pixel_size,notes
hud/logo_game.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(5, 55, 570, 405)",561x350,首页Logo候选；与早期蓝黄玩具风一致
hud/hud_height_sign.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(550, 0, 1010, 225)",454x225,顶部挂牌：高度
hud/hud_region_sign.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(1010, 0, 1448, 225)",427x225,顶部挂牌：区域
hud/hud_star_full_set.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(565, 230, 925, 415)",359x185,星星满态组
hud/hud_star_empty_set.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(930, 230, 1175, 415)",245x185,星星空态组
hud/hud_pause.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(1190, 225, 1448, 450)",258x225,暂停按钮
hud/hud_next_frame.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(0, 650, 280, 1086)",272x379,NEXT容器；运行时只放轮廓
hud/hud_rotate_90.png,READY,这也能叠_炫彩3d游戏界面素材表.png,"(770, 640, 1200, 1086)",430x403,右下旋转90°默认技能
claw/claw_rail.png,READY,抓娃娃机3d配件与特效素材表.png,"(0, 0, 860, 365)",860x365,抓手顶部轨道/滑车
claw/claw_cable_flex.png,READY,抓娃娃机3d配件与特效素材表.png,"(1080, 0, 1225, 405)",145x397,柔性线缆
claw/claw_cable_straight.png,READY,抓娃娃机3d配件与特效素材表.png,"(1210, 0, 1370, 405)",160x399,直线缆
claw/claw_open_wide.png,READY,抓娃娃机3d配件与特效素材表.png,"(0, 330, 370, 670)",370x340,抓手张开态
claw/claw_open_mid.png,READY,抓娃娃机3d配件与特效素材表.png,"(315, 335, 670, 670)",355x335,抓手半开态
claw/claw_open_narrow.png,READY,抓娃娃机3d配件与特效素材表.png,"(650, 335, 1000, 670)",350x335,抓手窄开态
claw/claw_grab_example.png,READY,抓娃娃机3d配件与特效素材表.png,"(900, 330, 1135, 650)",235x320,抓取状态参考；需替换内部示例物体
fx/fx_contact_dust.png,READY,抓娃娃机3d配件与特效素材表.png,"(0, 650, 250, 850)",250x200,普通接触尘点
fx/fx_impact_ring.png,READY,抓娃娃机3d配件与特效素材表.png,"(210, 630, 500, 850)",290x220,重物冲击环
fx/fx_impact_burst.png,READY,抓娃娃机3d配件与特效素材表.png,"(450, 610, 800, 850)",350x240,大碰撞冲击
fx/fx_debris_color.png,READY,抓娃娃机3d配件与特效素材表.png,"(760, 600, 1050, 850)",290x250,玩具彩色碎屑
fx/fx_warning_burst.png,READY,抓娃娃机3d配件与特效素材表.png,"(1010, 610, 1225, 850)",215x240,惊险/警示放射
fx/fx_star_recover.png,READY,抓娃娃机3d配件与特效素材表.png,"(1180, 575, 1448, 840)",268x265,星星恢复/高光
fx/fx_star_red.png,READY,抓娃娃机3d配件与特效素材表.png,"(0, 825, 260, 1086)",260x261,掉星/危险星
fx/fx_star_green.png,READY,抓娃娃机3d配件与特效素材表.png,"(210, 820, 510, 1086)",300x266,恢复稳定反馈
fx/fx_stable_swirl.png,READY,抓娃娃机3d配件与特效素材表.png,"(470, 820, 800, 1086)",330x266,惊险稳住轨迹
fx/fx_sparkle_strip.png,READY,抓娃娃机3d配件与特效素材表.png,"(780, 840, 1448, 1086)",668x246,通用闪光粒子
backgrounds/bg_sky_panel.png,READY,卡通游戏天空城市太空素材表.png,"(0, 0, 370, 250)",370x250,基础蓝天底，可作为颜色/渐变参考
backgrounds/bg_city_far.png,READY,卡通游戏天空城市太空素材表.png,"(0, 245, 720, 470)",720x225,城市远景 skyline
backgrounds/bg_city_near.png,READY,卡通游戏天空城市太空素材表.png,"(650, 240, 1448, 470)",786x230,城市近景楼体
backgrounds/cloud_large_01.png,READY,卡通游戏天空城市太空素材表.png,"(0, 460, 365, 660)",365x200,大型云
backgrounds/cloud_large_02.png,READY,卡通游戏天空城市太空素材表.png,"(330, 455, 720, 650)",390x195,大型云
backgrounds/cloud_small_group.png,READY,卡通游戏天空城市太空素材表.png,"(700, 440, 1448, 660)",748x220,小云组
backgrounds/cloud_platforms.png,READY,卡通游戏天空城市太空素材表.png,"(0, 650, 900, 840)",900x190,云平台组
backgrounds/wind_streaks.png,READY,卡通游戏天空城市太空素材表.png,"(0, 805, 850, 950)",850x145,高空风流装饰
backgrounds/air_objects.png,READY,卡通游戏天空城市太空素材表.png,"(1020, 0, 1448, 330)",416x330,飞机/热气球/飞艇/浮岛混合源；需后续二拆
backgrounds/stars_fx_group.png,READY,卡通游戏天空城市太空素材表.png,"(0, 900, 500, 1086)",500x186,星星/闪光组
backgrounds/nebula_group.png,READY,卡通游戏天空城市太空素材表.png,"(400, 850, 720, 1086)",320x236,星云组
backgrounds/earth_curve.png,READY,卡通游戏天空城市太空素材表.png,"(0, 920, 650, 1086)",650x166,地球弧线
backgrounds/space_planets_group.png,READY,卡通游戏天空城市太空素材表.png,"(650, 830, 1220, 1086)",570x256,地球/月球/行星/小行星组
